"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m0_base_bb",-39.2339317120036,8.88778388044218,-2356.83176166281,68.3283387937499,25.372568380951,1.59322502027986,4713.66352332562,136.6566775875
"m1centr",-39.5223518029886,8.84955418550919,-2357.12018175381,68.3904833959247,27.5191453449893,1.72084723530404,4714.24036350761,136.780966791849
"m1spec_v2",-39.5559062504575,8.90541547105566,-2357.15373620127,68.3671734804098,26.6719457733739,1.64650140084113,4714.30747240254,136.73434696082
"m2d_v2",-39.6801002187602,8.56808482050604,-2357.27793016956,68.3783674862908,28.9774571650825,1.71857544522468,4714.55586033912,136.756734972582
"m1centr_v2",-39.6986536181793,8.88830088276456,-2357.296483569,68.4214954456025,26.7987577282078,1.64845426182669,4714.59296713799,136.842990891205
"m0_beta_binom",-39.858593800198,8.84528920266668,-2357.456423751,68.3294778953421,26.9196172770435,1.70973525549716,4714.912847502,136.658955790684
"m1spec",-39.9934497186203,8.85756031917142,-2357.59127966943,68.3887641953062,27.863293924263,1.75112002169817,4715.18255933886,136.777528390612
"m1suit",-40.5230467232197,8.88329607952081,-2358.12087667403,68.3993238500145,27.6533672993607,1.72200399681396,4716.24175334806,136.798647700029
"m1suit_v2",-40.5284044257294,8.92627580438674,-2358.12623437654,68.3888423839831,26.5988032677892,1.63405684576641,4716.25246875308,136.777684767966
"m1bound_v2",-40.7641430912226,8.98993602985686,-2358.36197304203,68.3779835045007,26.990364775468,1.64923089658971,4716.72394608407,136.755967009001
"m1bound",-40.781490129616,8.93204758259151,-2358.37932008042,68.3984472337099,27.949666252112,1.75698579033888,4716.75864016085,136.79689446742
"m0_base",-2230.32487429214,339.744337526574,-4547.92270424291,371.428093579419,235.961362249726,51.5431388972973,9095.84540848582,742.856187158837
"m0_controls",-2231.61042295332,337.690854057581,-4549.20825290414,369.66461666755,251.87294614533,54.4660495895291,9098.41650580828,739.329233335099
