"longitude","latitude","n_records","n_assays","assays_present","n_species","species_present","total_tested","has_multiple_assays"
-72.55,-36.7167,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",10,FALSE
-72.544,-37.559,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",34,FALSE
-72.5052931578133,-39.5764607519908,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",20,FALSE
-72.462,-36.018,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",12,FALSE
-72.444,-40.76,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",42,FALSE
-72.434,-40.725,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",28,FALSE
-72.429,-38.527,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",7,FALSE
-72.4167,-38.5167,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",7,FALSE
-72.4167,-37.2833,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-72.41,-40.909,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",34,FALSE
-72.402,-39.729,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",25,FALSE
-72.4,-39.06,2,1,"Serology",2,"Abrothrix longipilis, Abrothrix olivaceus",9,FALSE
-72.3333,-39.6333,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",2,FALSE
-72.315,-40.365,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",24,FALSE
-72.308,-41.43,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",25,FALSE
-72.3064402546838,-40.7361441516054,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",69,FALSE
-72.303,-37.463,1,1,"Serology",1,"Abrothrix olivaceus",4,FALSE
-72.3,-40.35,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",24,FALSE
-72.29,-45.71,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-72.1495,-44.723,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-72.0683,-45.5712,2,1,"Culture/molecular",2,"Abrothrix longipilis, Oligoryzomys longicaudatus",2,FALSE
-72.0667,-45.5667,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",2,FALSE
-72.018,-41.086,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",13,FALSE
-72,-35.6,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-71.999,-36.651,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",36,FALSE
-71.99,-36.452,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",33,FALSE
-71.973,-39.064,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",29,FALSE
-71.95,-39.8,1,1,"Culture/molecular",1,"Abrothrix longipilis",1,FALSE
-71.95,-37.4833,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",2,FALSE
-71.9422939899132,-39.8480071434478,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",133,FALSE
-71.94,-45.583,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",5,FALSE
-71.93,-39.42,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-71.847,-34.99,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",13,FALSE
-71.833,-34.971,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",7,FALSE
-71.831,-41.532,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",52,FALSE
-71.813,-39.527,1,1,"Serology",1,"Abrothrix longipilis",23,FALSE
-71.794,-37.241,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",34,FALSE
-71.7833,-37.2333,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",34,FALSE
-71.766,-36.556,1,1,"Serology",1,"Abrothrix olivaceus",1,FALSE
-71.75,-39.4166666666666,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",48,FALSE
-71.744,-36.931,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",26,FALSE
-71.74,-41.6,1,1,"Serology",1,"Oligoryzomys longicaudatus",1,FALSE
-71.7333,-46.55,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",2,FALSE
-71.7,-39.12,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-71.65,-33.998,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",20,FALSE
-71.6412108888632,-40.7619679980114,2,1,"Serology",2,"Abrothrix longipilis, Oligoryzomys longicaudatus",43,FALSE
-71.64,-40.76,1,1,"Serology",1,"Oligoryzomys longicaudatus",130,FALSE
-71.6,-42.0615,1,1,"Serology",1,"Oligoryzomys longicaudatus",191,FALSE
-71.589,-40.747,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",197,FALSE
-71.563,-33.643,1,1,"Serology",1,"Oligoryzomys longicaudatus",1,FALSE
-71.554,-34.671,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",5,FALSE
-71.549,-35.03,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",3,FALSE
-71.54,-41.967,1,1,"Serology",1,"Oligoryzomys longicaudatus",179,FALSE
-71.5333,-35.0167,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",3,FALSE
-71.529955203148,-41.9744069424501,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",135,FALSE
-71.501,-36.017,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",11,FALSE
-71.5,-41.58,1,1,"Serology",1,"Oligoryzomys longicaudatus",18,FALSE
-71.5,-36.0167,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",11,FALSE
-71.463,-37.546,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",29,FALSE
-71.45,-42.517,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",1330,FALSE
-71.45,-42.5166,1,1,"Serology",1,"Oligoryzomys longicaudatus",1318,FALSE
-71.413,-36.289,2,1,"Serology",2,"Abrothrix longipilis, Oligoryzomys longicaudatus",4,FALSE
-71.4,-36.2833,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",4,FALSE
-71.37,-39.78,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",879,FALSE
-71.357,-33.07,1,1,"Serology",1,"Abrothrix olivaceus",14,FALSE
-71.346,-34.955,1,1,"Serology",1,"Oligoryzomys longicaudatus",1,FALSE
-71.317,-34.983,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",24,FALSE
-71.313,-41.142,1,1,"Serology",1,"Oligoryzomys longicaudatus",209,FALSE
-71.3,-38.15,2,1,"Serology",2,"Abrothrix longipilis, Oligoryzomys longicaudatus",20,FALSE
-71.3,-34.07,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",12,FALSE
-71.2833,-34.0667,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",12,FALSE
-71.2394,-34.9828,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-71.2381070401883,-39.8039037420265,2,1,"Serology",2,"Abrothrix longipilis, Oligoryzomys longicaudatus",93,FALSE
-71.227,-35.484,1,1,"Serology",1,"Abrothrix olivaceus",2,FALSE
-71.221,-32.87,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",16,FALSE
-71.217,-33.735,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",12,FALSE
-71.2167,-35.4833,1,1,"Serology",1,"Abrothrix olivaceus",2,FALSE
-71.206,-32.908,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",4,FALSE
-71.18,-33.673,1,1,"Serology",1,"Abrothrix olivaceus",8,FALSE
-71.18,-33.569,2,1,"Serology",2,"Abrothrix olivaceus, Oligoryzomys longicaudatus",6,FALSE
-71.179,-33.65,1,1,"Serology",1,"Abrothrix olivaceus",4,FALSE
-71.1691038987928,-38.8862726430322,2,1,"Serology",2,"Abrothrix longipilis, Oligoryzomys longicaudatus",5,FALSE
-71.1623976864422,-39.8845917917761,1,1,"Serology",1,"Oligoryzomys longicaudatus",7,FALSE
-71.147,-33.813,1,1,"Serology",1,"Abrothrix olivaceus",2,FALSE
-71.131,-39.906,1,1,"Serology",1,"Oligoryzomys longicaudatus",13,FALSE
-71.125,-34.967,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",12,FALSE
